"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Aruba","ABW","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.09999990463257","","","6.69999980926514","","","7.5","","","6.90000009536743","6.90000009536743","","","","","","5.69999980926514","","","","","","",
"Andorra","AND","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.5","","","","","","","","",
"Angola","AGO","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.7000007629395","","","","","","13.5","13","13.8000001907349","14.1999998092651","","","",
"Arab World","ARB","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.3616955837642","","","","14.6673041142413","","11.0142231587617","9.9719801909145","10.5733698306003","9.07707454961754","","","","",
"United Arab Emirates","ARE","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.79999995231628","","","","","2.29999995231628","","","","","3.09999990463257","","","4","4.19999980926514","","","","",
"Argentina","ARG","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","2.29999995231628","4.5","4.80000019073486","4.19999980926514","3.79999995231628","5.30000019073486","4.40000009536743","5.30000019073486","6","7.30000019073486","7.30000019073486","5.80000019073486","6.69999980926514","10.1000003814697","12.1000003814697","18.7999992370605","17.2000007629395","14.8999996185303","12.8000001907349","14.1000003814697","15","18.2999992370605","17.8999996185303","16.1000003814697","12.6000003814697","10.6000003814697","10.1000003814697","8.5","7.80000019073486","8.60000038146973","7.69999980926514","7.19999980926514","7.19999980926514","",
"Armenia","ARM","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.4000015258789","","","","35.9000015258789","","","","","","28.3999996185303","16.3999996185303","18.7000007629395","19","18.3999996185303","","",
"American Samoa","ASM","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","12.3999996185303","10.6000003814697","12.8000001907349","13","13.1000003814697","12.5","13.3999996185303","","","","3.5","","","","","","","","","","5.09999990463257","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","8.39999961853027","","","","","","","","","","","","",
"Australia","AUS","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","6.09999990463257","5.80000019073486","7.19999980926514","10","9","8.30000019073486","8.10000038146973","8.10000038146973","7.19999980926514","6.19999980926514","6.90000009536743","9.60000038146973","10.8000001907349","10.8999996185303","9.69999980926514","8.5","8.5","8.5","7.69999980926514","6.90000009536743","6.30000019073486","6.80000019073486","6.40000009536743","5.90000009536743","5.40000009536743","5","4.80000019073486","4.40000009536743","4.19999980926514","5.59999990463257","5.19999980926514","5.09999990463257","5.19999980926514","",
"Austria","AUT","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","3.29999995231628","4.09999990463257","3.79999995231628","3.59999990463257","3.09999990463257","3.79999995231628","3.59999990463257","3.09999990463257","3.20000004768372","3.40000009536743","3.59999990463257","4.30000019073486","3.5","3.70000004768372","4.09999990463257","4.19999980926514","4.19999980926514","3.70000004768372","3.5","3.59999990463257","4","4.30000019073486","4.90000009536743","5.19999980926514","4.69999980926514","4.40000009536743","3.79999995231628","4.80000019073486","4.40000009536743","4.09999990463257","4.30000019073486","",
"Azerbaijan","AZE","Unemployment, total (% of total labor force)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.2999992370605","11.8000001907349","10.8999996185303","10","9.19999980926514","8","7.30000019073486","6.59999990463257","6.30000019073486","5.90000009536743","5.69999980926514","5.59999990463257","5.40000009536743","5.19999980926514","",
